State,Coal,Natural Gas,NG2,Oil,Oil2
 Extraction ,0.021680517,1.38042589,0.10106763,1.196346697,0.88423644
Processing ,0,0.056222862,0,0.354070588,0
Transportation ,0.309669129,0.630316554,0,0.376309,0
Storage ,0,0.074865456,0,0.051716606,0
Usage (including power),1.100654028,0.426638468,0,0.15142723,0
