State,		Extraction,	UNLABELED, 	Processing,	Transportation,	Storage,	Usage (including power)
Oil,		1.2,		0.9, 		0.4,		0.4,			0.1,		0.2
Natural Gas,1.4,		0.1,		0.1,		0.6,			0.1,		0.4
Coal,		0,			0,			0,			0.3,			0,			1.1
