State,Coal Current Level,Natural Gas Current Level,Oil Current Level,Coal Full Capacity,Natural Gas Full Capacity,Oil Full Capacity
Domestic Extraction,0.01,0.74,1.68,0.01,0.74,1.68
Foreign Extraction,0.00,0.55,0.68,0.00,0.55,0.68
Tankers,0.00,0.04,0.01,0.00,0.04,0.01
LNG Terminals*,0.00,1.29,0.00,0.00,0.03,0.00
Refineries (Oil) & Processing Plants (NG)*,0.00,0.04,0.08,0.00,0.03,0.07
Pipelines (Oil & Gas) & Rail (Coal),0.0,0.0,0.0,0.29,0.19,0.09
Storage**,0.00,0.00,0.00,0.00,0.03,0.01
Power Generators (Input)*,0.54,0.25,1.26,0.30,0.08,0.07
Gas Stations,0.00,0.00,0.09,0.00,0.00,0.09
