State,Coal Current Level,Natural Gas Current Level,Oil Current Level,Coal Full Capacity,Natural Gas Full Capacity,Oil Full Capacity
Domestic Extraction,0.7,1.0,0.4,0.7,1.0,0.4
Foreign Extraction,0.00,0.1,0.8,0.00,0.1,0.8
Tankers,0.00,0.0,0.5,0.00,0.0,0.5
LNG Terminals*,0.00,0.00,0.00,0.00,0.23,0.00
Refineries (Oil) and Processing Plants (NG)*,0.00,0.6,1.2,0.00,0.8,1.4
Pipelines (Oil and Gas) and Rail (Coal),0.0,0.0,0.0,0.4,0.8,1.1
Storage**,0.00,0.00,0.00,0.00,0.9,1.3
Power Generators (Input)*,0.5,0.4,0.0,1.0,1.5,0.2
Gas Stations,0.00,0.00,0.6,0.00,0.00,0.6
