State,Kale,Arugula,Paris_Island,Pac_Choi,Spinach,Lolla
High1,0.25,0.23,0.11,0.28,0.25,0.44
High2,0.25,0.18,0.10,0.30,0.30,0.44
High3,0.25,0.31,0.18,0.51,0.16,0.27
High4,0.30,0.31,0.16,0.33,0.15,0.28
Low1,0.25,0.24,0.00,0.21,0.00,0.04
Low2,0.34,0.31,0.00,0.35,0.18,0.31
Low3,0.00,0.32,0.00,0.34,0.11,0.23
Low4,0.35,0.24,0.00,0.24,0.25,0.61
