State,	Extraction,	Unlabeled,	Processing,	Transportation,	Storage,	Usage (incl. power)
11–20,	2.58,		0.95,		0.00,		0.00,			0.00,		0.09
21–30,	0.02,		0.00,		0.06,		0.33,			0.07,		0.00
31–40,	0.00,		0.00,		0.35,		0.65,			0.05,		0.00
41–50,	0.00,		0.00,		0.00,		0.38,			0.00,		1.59
