State,Coal,Natural_Gas,Foreign_Natural_Gas,Oil,Foreign_Oil
 Extraction ,0.031680517,1.38042589,0.10106763,1.196346697,0.88423644
Processing ,0,0.046222862,0,0.154070588,0
Transportation ,0.209669129,0.930316554,0,0.376309,0
Storage ,0,0.114865456,0,0.071716606,0
Usage (including power),4.100654028,0.426638468,0,0.15142723,0
