State,Oil,Gas,Coal
Domestic Extraction,1.24,1.31,0.02
Foreign Extraction,0.92,0.09,0.00
Tankers,0.02,0.00,0.00
LNG Terminals*,0.00,0.00,0.00
Refineries (Oil) and Processing Plants (NG)*,0.35,0.06,0.00
Pipelines (Oil and Gas) and Rail (Coal),0.38,0.63,0.31
Storage**,0.05,0.07,0.00
Power Generators (Input)*,0.04,0.07,0.31
Gas Stations,0.09,0.00,0.00
