State,Coal Current Level,Natural Gas Current Level,Oil Current Level,Coal Full Capacity,Natural Gas Full Capacity,Oil Full Capacity
Domestic Extraction,0.03,1.30,3.0,0.03,1.30,3.0
Foreign Extraction,0.00,1.0,1.20,0.00,1.0,1.20
Tankers,0.00,0.1,0.03,0.00,0.1,0.03
LNG Terminals*,0.00,3.39,0.00,0.00,0.1,0.00
Refineries (Oil) & Processing Plants (NG)*,0.00,0.09,0.28,0.00,0.07,0.25
Pipelines (Oil & Gas) & Rail (Coal),0.0,0.0,0.0,0.72,0.77,0.35
Storage**,0.00,0.00,0.00,0.00,0.09,0.04
Power Generators (Input)*,6.3,0.98,4.95,1.09,0.28,0.24
Gas Stations,0.00,0.00,0.15,0.00,0.00,0.15
