State,													Book Value (Energy Inventory), 	Depreciated Value (Energy Inventory and Assumed Age Structure),	Depreciated Value (BEA FAA)
Oil and Gas Extraction - Domestic,						2.863591814,					1.7890999,						1.320069
Oil Pipelines - Gas Transmission Pipelines, 			0.744878738,					0.1734389,						0.152111
Power Plants (Fossil Fuel),								1.548207687,					0.5332367,						1.066663
Other assets,  											1.254717296,					0,								0.356439
Assets not measured by the BEA,  						1.318097428, 					0,								0
